trip count,tripduration,start date,start time,stop date,stop time,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1,174,1/1/20,11:59:12 AM,1/1/20,12:02:06 PM,3203,Hamilton Park,40.72759597,-74.04424731,3278,Monmouth and 6th,40.72568548,-74.04879034,26226,Subscriber,1983,Female
1,876,1/1/20,12:00:11 PM,1/1/20,12:14:48 PM,3187,Warren St,40.7211236,-74.03805095,3203,Hamilton Park,40.72759597,-74.04424731,29580,Subscriber,1988,Male
1,251,1/1/20,12:02:30 PM,1/1/20,12:06:42 PM,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,26314,Subscriber,1977,Female
1,184,1/1/20,12:02:50 PM,1/1/20,12:05:55 PM,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,26306,Subscriber,1978,Male
1,874,1/1/20,12:03:14 PM,1/1/20,12:17:49 PM,3640,Journal Square,40.73367,-74.0625,3210,Pershing Field,40.74267714,-74.05178863,29523,Subscriber,1979,Female
1,258,1/1/20,12:06:15 PM,1/1/20,12:10:34 PM,3186,Grove St PATH,40.71958612,-74.04311746,3483,Montgomery St,40.71942,-74.05099,26295,Subscriber,1968,Male
1,2133,1/1/20,12:07:54 PM,1/1/20,12:43:27 PM,3186,Grove St PATH,40.71958612,-74.04311746,3273,Manila & 1st,40.72165072,-74.04288411,29680,Subscriber,1968,Female
1,558,1/1/20,12:10:11 PM,1/1/20,12:19:29 PM,3279,Dixon Mills,40.72163014,-74.04996783,3681,Grand St,40.71517768,-74.03768331,29548,Customer,1991,Female
1,547,1/1/20,12:10:22 PM,1/1/20,12:19:29 PM,3279,Dixon Mills,40.72163014,-74.04996783,3681,Grand St,40.71517768,-74.03768331,26270,Customer,1989,Male
1,295,1/1/20,12:12:30 PM,1/1/20,12:17:25 PM,3202,Newport PATH,40.7272235,-74.0337589,3275,Columbus Drive,40.7183552,-74.03891444,26300,Subscriber,1973,Female
1,1809,1/1/20,12:14:00 PM,1/1/20,12:44:09 PM,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,26155,Subscriber,1991,Male
1,254,1/1/20,12:14:31 PM,1/1/20,12:18:45 PM,3186,Grove St PATH,40.71958612,-74.04311746,3483,Montgomery St,40.71942,-74.05099,29537,Subscriber,1968,Unknown
1,677,1/1/20,12:14:34 PM,1/1/20,12:25:51 PM,3276,Marin Light Rail,40.71458404,-74.04281706,3202,Newport PATH,40.7272235,-74.0337589,26179,Subscriber,1992,Female
1,516,1/1/20,12:18:13 PM,1/1/20,12:26:49 PM,3185,City Hall,40.7177325,-74.043845,3202,Newport PATH,40.7272235,-74.0337589,26276,Subscriber,1981,Male
1,250,1/1/20,12:23:30 PM,1/1/20,12:27:40 PM,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,26283,Subscriber,1980,Male
